Aliquot ID,chr3_2_translocation,chr3_5_translocation,CNV subtype,14q,7p,5q,3p
CPT0086820003,No,confirmed,1,loss,LR neutral,LR amplification,loss
CPT0015730003,No,confirmed,2,loss,LR neutral,LR amplification,loss
CPT0007320003,No,confirmed,2,loss,LR neutral,LR amplification,loss
CPT0075130003,No,No,2,loss,LR neutral,LR neutral,loss
CPT0015810003,No,No,4,loss,LR amplification,LR neutral,loss
CPT0012280003,No,No,3,loss,LR neutral,LR amplification,loss
CPT0065430003,confirmed,No,2,loss,LR neutral,LR amplification,loss
CPT0079410003,No,No,1,loss,LR amplification,LR amplification,loss
CPT0075560003,No,No,2,LR neutral,LR neutral,LR amplification,loss
CPT0006440003,No,No,2,LR neutral,LR neutral,LR neutral,loss
CPT0025580004,No,No,2,LR neutral,LR amplification,LR amplification,loss
CPT0077310003,No,No,2,LR neutral LOH,LR neutral,LR amplification,loss
CPT0006900003,No,No,2,LR neutral,LR neutral,LR neutral,loss
CPT0001500009,confirmed,No,4,LR neutral,LR amplification,LR neutral,loss
CPT0078830003,confirmed,No,2,loss,LR neutral,LR neutral,loss
CPT0010160003,confirmed,No,4,LR neutral,LR amplification,LR neutral,loss
CPT0000780007,No,No,4,LR neutral,LR amplification,LR neutral,loss
CPT0086030003,confirmed,No,2,LR neutral,LR neutral,LR neutral,loss
CPT0000640003,No,confirmed,2,loss,LR neutral,LR amplification,loss
CPT0078930003,No,No,2,LR neutral,LR neutral,LR neutral,loss
CPT0078990003,No,No,2,LR neutral,LR neutral,LR amplification,loss
CPT0023350003,No,No,1,LR neutral,LR amplification,LR amplification,loss
CPT0078510003,No,No,4,LR neutral,LR amplification,LR amplification,loss
CPT0087040003,No,confirmed,2,LR neutral,LR neutral,LR amplification,loss
CPT0001180009,No,No,1,loss,LR neutral LOH,LR neutral,loss
CPT0014160003,No,confirmed,3,loss,LR neutral,LR amplification,loss
CPT0069000003,No,No,2,LR neutral,LR neutral,LR amplification,loss
CPT0017410003,No,No,4,loss,LR amplification,LR amplification,loss
CPT0063320003,No,No,2,LR neutral,LR neutral,LR neutral,loss
CPT0000870016,No,confirmed,2,LR neutral,LR neutral,LR amplification,loss
CPT0025290003,No,confirmed,2,LR neutral,LR neutral,LR amplification,loss
CPT0001220008,No,confirmed,2,loss,LR neutral,LR amplification,loss
CPT0025350003,No,No,2,LR neutral,LR neutral,LR amplification,loss
CPT0088690003,confirmed,No,1,LR neutral LOH,LR amplification,LR neutral,loss
CPT0023690003,No,No,2,LR neutral,LR neutral,LR neutral,loss
CPT0065870003,No,No,2,LR neutral,LR neutral,LR neutral,loss
CPT0002350011,No,No,1,loss,LR amplification,LR amplification,loss
CPT0020120003,No,No,3,loss,LR neutral,LR amplification,loss
CPT0012180003,No,No,1,loss,LR neutral,LR neutral,loss
CPT0086360003,No,No,2,loss,LR neutral,LR amplification,loss
CPT0063630003,No,No,1,loss,LR amplification,LR amplification,loss
CPT0077110003,No,No,2,loss,LR neutral,LR neutral,loss
CPT0066470004,No,No,2,LR neutral,LR neutral,LR amplification,loss
CPT0012080003,No,No,4,LR neutral,LR amplification,LR neutral,loss
CPT0065750003,No,No,2,loss,LR neutral,LR amplification,loss
CPT0081990003,No,No,2,LR neutral,LR neutral,LR neutral,loss
CPT0088480003,No,No,2,loss,LR neutral,LR neutral,loss
CPT0079380003,No,confirmed,2,LR neutral,LR neutral,LR neutral,loss
CPT0066480003,No,No,2,LR neutral,LR neutral,LR neutral,loss
CPT0025170003,No,No,2,LR neutral,LR neutral,LR neutral,loss
CPT0089020003,No,No,4,LR neutral,LR amplification,LR amplification,loss
CPT0071150004,No,No,2,LR neutral,LR neutral,LR neutral,loss
CPT0089460004,No,No,4,LR neutral,LR amplification,LR neutral,loss
CPT0025050003,No,confirmed,3,loss,LR amplification,LR amplification,loss
CPT0015910003,No,No,2,LR neutral,LR neutral,LR amplification,loss
CPT0076330003,No,No,2,loss,LR neutral,LR amplification,loss
CPT0092730003,No,confirmed,2,LR neutral,LR neutral,LR amplification,loss
CPT0010110003,confirmed,No,2,loss,LR neutral,LR amplification,loss
CPT0084560003,No,No,1,loss,LR amplification,LR amplification,LR neutral LOH
CPT0012550003,No,No,1,LR neutral LOH,LR neutral LOH,LR neutral LOH,LR neutral LOH
CPT0079230003,No,No,2,loss,LR neutral,LR amplification,LR neutral LOH
CPT0065930003,No,No,2,LR neutral,LR neutral,LR amplification,LR neutral LOH
CPT0088760003,No,No,2,LR neutral,LR neutral,LR amplification,LR neutral LOH
CPT0086950003,No,No,1,LR amplification,LR amplification,LR amplification,LR neutral LOH
CPT0069160003,No,No,1,loss,LR neutral,LR amplification,LR neutral LOH
CPT0088550004,No,No,2,LR neutral,LR neutral,LR neutral,LR neutral
CPT0017850003,No,No,NA,LR neutral,LR amplification,LR neutral,loss
CPT0078800003,No,No,NA,loss,LR neutral,LR neutral,LR neutral
CPT0078660003,No,No,NA,LR neutral,LR neutral,LR neutral,LR neutral
CPT0002270011,No,No,NA,LR neutral,LR neutral,LR neutral,LR neutral
CPT0079180003,No,No,NA,LR neutral,LR neutral,LR neutral,LR neutral
CPT0088970003,No,No,NA,LR neutral,LR neutral,LR neutral,LR neutral
CPT0011410003,No,No,NA,LR neutral,LR amplification,LR neutral,LR amplification
